Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Pace,Best Pace,Training Stress Score®,Total Strokes,Avg. Swolf,Avg Stroke Rate,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time
Pool Swim,2026-04-17 15:24:47,false,"Pool Swim","1,200","450","00:43:20","151","180","3.2","2:03","1:11","0.0","567","43","23","No","00:00:02.4","30","00:24:41","00:47:20"
Pool Swim,2026-04-13 19:51:30,false,"Pool Swim","850","299","00:30:37","141","163","2.6","1:57","1:17","0.0","352","40","21","No","00:00:14.8","28","00:16:34","00:31:38"
Pool Swim,2026-04-09 19:44:28,false,"Pool Swim","1,400","483","00:39:32","166","185","4.2","2:03","1:37","0.0","621","42","22","No","00:00:01.8","25","00:28:36","00:43:49"
Pool Swim,2026-04-03 18:23:11,false,"Pool Swim","800","339","00:40:52","126","162","2.8","2:00","1:22","0.0","346","41","22","No","00:00:10.0","17","00:16:03","01:26:33"
Pool Swim,2026-03-30 19:14:19,false,"Pool Swim","1,900","671","01:00:57","156","186","4.1","2:03","0:59","0.0","852","42","22","No","00:00:09.6","44","00:38:50","01:01:32"
Pool Swim,2026-03-24 14:53:08,false,"Pool Swim","2,025","710","01:16:48","145","170","3.4","2:20","1:38","0.0","942","47","20","No","00:00:03.8","76","00:47:19","01:26:05"
Pool Swim,2026-02-12 17:55:54,false,"Schwimmbad","1,500","596","01:04:56","146","177","3.3","2:17","0:10","0.0","791","95","23","No","00:00:03","56","00:34:22","01:10:31"
Pool Swim,2026-02-08 17:20:49,false,"Chat and Swim","1,100","486","01:05:52","129","176","2.6","2:10","1:44","0.0","555","90","23","No","00:00:14.9","34","00:23:47","01:09:29"
Pool Swim,2026-02-07 17:36:22,false,"Schwimmbad","1,800","597","01:12:26","138","173","3.0","2:09","1:42","0.0","848","88","22","No","00:00:04.6","69","00:38:34","01:17:47"
Pool Swim,2026-02-04 18:13:51,false,"Schwimmbad","1,450","597","01:04:28","147","183","3.3","2:06","1:31","0.0","635","85","21","No","00:00:06.0","39","00:30:29","01:07:53"
Pool Swim,2026-01-31 10:17:29,false,"Schwimmbad","1,200","425","00:34:41","160","186","3.7","2:17","1:52","0.0","603","94","22","No","00:00:10.2","28","00:27:28","00:42:27"
Pool Swim,2026-01-17 16:22:35,false,"Schwimmbad","1,000","325","00:36:05","136","164","2.6","2:04","1:44","0.0","483","86","23","No","00:00:06.0","34","00:20:43","00:39:55"
Pool Swim,2026-01-14 16:47:26,false,"Schwimmbad","1,800","608","00:56:12","152","179","3.6","2:23","1:55","0.0","967","99","22","No","00:00:02.6","34","00:43:04","01:03:35"
Pool Swim,2026-01-08 16:13:04,false,"Schwimmbad","900","300","00:35:04","136","183","2.5","2:05","1:27","0.0","409","85","22","No","00:00:02.6","31","00:18:41","00:43:14"
Pool Swim,2025-12-11 16:09:15,false,"Schwimmbad","1,000","288","00:34:56","132","164","2.5","2:12","1:54","0.0","500","91","23","No","00:00:03.4","37","00:22:05","01:09:55"
Pool Swim,2025-11-19 16:14:46,false,"Schwimmbad","1,400","424","00:48:38","140","175","2.7","2:05","1:30","0.0","628","85","22","No","00:00:03.5","47","00:29:06","00:55:47"
Pool Swim,2025-11-16 16:19:10,false,"Schwimmbad 10/10 Training","2,050","595","01:02:32","144","168","3.0","2:11","0:14","0.0","1051","91","24","No","00:00:08.4","65","00:44:35","01:12:32"
Pool Swim,2025-11-12 16:24:13,false,"Schwimmbad","1,750","583","01:02:38","146","183","3.2","2:25","1:45","0.0","1072","103","25","No","00:00:03.4","59","00:42:13","01:27:02"
Pool Swim,2025-10-29 17:13:09,false,"Schwimmbad","2,000","673","01:14:37","145","176","3.3","2:13","1:45","0.0","1188","96","27","No","00:00:09.5","56","00:44:13","01:15:12"
Pool Swim,2025-10-22 17:42:44,false,"Schwimmbad","1,450","496","00:53:32","148","182","3.8","2:13","0:41","0.0","839","95","26","No","00:00:02.5","39","00:32:10","01:31:16"
